text	other	letter	type	explanation
alpha		A	Standard	Radio communications
article		A	Standard	
axis	co-ordinate	X	Standard	Graphs
axis	co-ordinate	Y	Standard	Graphs
axis	co-ordinate	Z	Standard	Graphs
bee		B	Standard	Name of letter
bend		S	Standard	
bend		U	Standard	
bend		Z	Standard	
bravo		B	Standard	Radio communications
by	times	X	Standard	Multiplication symbol
canine letter		R	Advanced	See Chambers
Charlie		C	Standard	Radio communications
circular letter		O	Standard	
cross		X	Standard	
cue		Q	Standard	Name of letter
curve		J	Advanced	J-curve
Dee		D	Standard	Name of letter
delta		D	Standard	Radio communications
duck	blob	O	Standard	
echo		E	Standard	Radio communications
ego	self/first person	I	Standard	
Emma		M	Advanced	Signalling
ex		X	Standard	Name of letter
factor		X	Standard	
fifth		V	Standard	Roman ordinal
fifty	50	L	Standard	Roman numeral
first		I	Standard	Roman ordinal
first class	top grade	A	Standard	
five	5	V	Standard	Roman numeral
five hundred	500	D	Standard	Roman numeral
foxtrot		F	Standard	Radio communications
gee		G	Standard	Name of letter
golf		G	Standard	Radio communications
honour		J	Advanced	Cards
honour		Q	Advanced	Cards
honour		K	Advanced	Cards
honour		A	Advanced	Cards
hotel		H	Standard	Radio communications
hundred	100/ton/century	C	Standard	Roman numeral
India		I	Standard	Radio communications
jay		J	Standard	Name of letter
Juliet		J	Standard	Radio communications
junction		T	Standard	
Kay		K	Standard	Name of letter
kilo		K	Standard	Radio communications
kiss		X	Standard	
Lima		L	Standard	Radio communications
loud		F	Standard	Forte
love	zip/zero/nothing/nil	O	Standard	
Mike		M	Standard	Radio communications
notch		V	Standard	
November		N	Standard	Radio communications
one		A	Standard	
one		I	Standard	Roman numeral
Oscar		O	Standard	Radio communications
papa		P	Standard	Radio communications
pee		P	Standard	Name of letter
pen		J	Advanced	J-pen
per		A	Standard	For each
point		N	Standard	
point		E	Standard	
point		S	Standard	
point		W	Standard	
pole		N	Standard	
pole		S	Standard	
posh	upper class	U	Standard	
programming language		C	Standard	
Quebec		Q	Standard	Radio communications
Romeo		R	Standard	Radio communications
second class	second rate	B	Standard	
see		C	Standard	Name of letter
shape of console		S	Advanced	See Chambers
sierra		S	Standard	Radio communications
soft	softly	P	Standard	Piano
tango		T	Standard	Radio communications
tee		T	Standard	Name of letter
ten	10	X	Standard	Roman numeral
tenth		X	Standard	Roman ordinal
thousand	1000	M	Standard	Roman numeral
turn		U	Standard	
uniform		U	Standard	Radio communications
unknown	variable	X	Standard	Algebra
unknown	variable	Y	Standard	Algebra
unknown	variable	Z	Standard	Algebra
victor		V	Standard	Radio communications
vote		X	Standard	
whiskey		W	Standard	Radio communications
wrong answer		X	Standard	
Yankee		Y	Standard	Radio communications
yes	indeed	I	Advanced	Same as aye
Zulu		Z	Standard	Radio communications
